district,body_code,body_type,ward_code,ward_name,source_key,source_url,source_last_updated
Ernakulam,G07027,Grama Panchayat,001,PULINCHODU,6zLwY7bBRV,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,002,PATTERIPPURAM,RQBd6rxLm3,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,003,PALLIKKUNU,VnBWDkvX5r,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,004,SREENARAYANAPURAM,8KLpyKvZqx,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,005,THAIKKATTUKARA,EAL3bPVX89,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,006,KUNNUMPURAM,n6ZgPvrBor,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,007,MANAKKAPPADY,o7LExV3X2e,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,008,ASOKAPURAM,w2XOVKMB4K,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,009,KODIKUTHUMALA,lMB1PJaZbV,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,010,KATTEPPADAM,odLrGjMZ39,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,011,KUNNATHERY,WxLYj7YZME,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,012,KUNNATHERY WEST,91Bn2rRBwD,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,013,KUNNATHERY CENTRAL,QNL78K5ZEG,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,014,CHAMBYARAM,P3L6zKMLON,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,015,AMBATTUKAVU,3bZJODKBN9,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,016,MUTTAM,14XoRmrBJr,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,017,CHOORNIKKARA,q7ZP3gDLVY,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,018,COMPANYPADY,WALNMKkXK6,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,019,MUTHIRAPPADAM,2VZA4VwLqe,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,020,POYYAKKARA,MOZ4VobXAD,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
Ernakulam,G07027,Grama Panchayat,021,MANTHRAKKAL,MVLzweKZgA,https://sec.kerala.gov.in/election/member/viewMember,2026-03-12
