country,full_name,office_level,office_title,jurisdiction_type,jurisdiction_code,state,district,block,ward,local_body_type,local_body_name,normalized_name,transliterated_name,party,term_start,term_end,source_url,source_last_updated,status
IN,അømരĵ ൻ,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-001,Kerala,Ernakulam,പറവൂർ,001,block_panchayat,പറവൂർ,അømരĵ ൻ,aømraĵ n,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,അഖിൽ ബാവøൻ,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-002,Kerala,Ernakulam,പറവൂർ,002,block_panchayat,പറവൂർ,അഖിൽ ബാവøൻ,akhail baavaøn,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,േജാർČ ് വർഗീസ്,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-003,Kerala,Ernakulam,പറവൂർ,003,block_panchayat,പറവൂർ,േജാർČ ് വർഗീസ്,eejaarČ vargaeesa,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,മണി ടീøർ,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-004,Kerala,Ernakulam,പറവൂർ,004,block_panchayat,പറവൂർ,മണി ടീøർ,manai taeeør,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,അനൂബ് (അഡŠ. ടി. ജി. അനൂപ്),other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-005,Kerala,Ernakulam,പറവൂർ,005,block_panchayat,പറവൂർ,അനൂബ് (അഡŠ. ടി. ജി. അനൂപ്),anaooba (adaŠ. tai. jai. anaoopa),Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,മĵ ു അനിൽകുമാർ,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-006,Kerala,Ernakulam,പറവൂർ,006,block_panchayat,പറവൂർ,മĵ ു അനിൽകുമാർ,maĵ u anailkaumaar,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,ലിൻസി വിൻെസh്,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-007,Kerala,Ernakulam,പറവൂർ,007,block_panchayat,പറവൂർ,ലിൻസി വിൻെസh്,lainsai vainesah,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,െജŌ ി ലാലു,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-008,Kerala,Ernakulam,പറവൂർ,008,block_panchayat,പറവൂർ,െജŌ ി ലാലു,ejaŌ i laalau,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,െജൻസി േതാമസ്,other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-009,Kerala,Ernakulam,പറവൂർ,009,block_panchayat,പറവൂർ,െജൻസി േതാമസ്,ejansai eethaamasa,Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
IN,േമരി ലിന(ലിന ബിജു),other_local_representative,Block Panchayat Member,other,IN-KL-ERN-BP-B07062-010,Kerala,Ernakulam,പറവൂർ,010,block_panchayat,പറവൂർ,േമരി ലിന(ലിന ബിജു),eemarai laina(laina baijau),Unknown,2025-12-19,2030-12-18,https://sec.kerala.gov.in/public/elercd/download/db3d5c61-cc49-48d5-991f-d207bd159562,2026-03-12,active
